# Frequency (eV) 	 Current Real 	 Imaginary
0.179704	1.81633e-06	-0.00212939
0.180072	0.000103462	-0.00212752
0.180439	0.000202383	-0.00210865
0.180807	0.000295773	-0.00207364
0.181174	0.000381036	-0.00202377
0.181542	0.00045586	-0.00196075
0.181909	0.000518277	-0.00188666
0.182277	0.000566719	-0.00180383
0.182644	0.000600056	-0.00171481
0.183012	0.000617617	-0.00162228
0.183379	0.000619203	-0.00152898
0.183747	0.000605085	-0.00143758
0.184114	0.000575979	-0.00135067
0.184482	0.00053302	-0.00127061
0.184849	0.000477718	-0.00119956
0.185217	0.0004119	-0.0011393
0.185584	0.000337652	-0.00109131
0.185952	0.000257248	-0.00105664
0.186319	0.00017308	-0.00103594
0.186687	8.75788e-05	-0.00102943
0.187054	3.14404e-06	-0.00103691
0.187422	-7.79276e-05	-0.00105779
0.187789	-0.000153509	-0.0010911
0.188157	-0.000221699	-0.00113554
0.188524	-0.000280877	-0.00118953
0.188892	-0.000329739	-0.00125124
0.189259	-0.00036733	-0.00131872
0.189627	-0.000393058	-0.00138989
0.189994	-0.000406703	-0.00146262
0.190361	-0.000408414	-0.00153485
0.190729	-0.000398683	-0.00160458
0.191096	-0.00037833	-0.00166998
0.191464	-0.000348457	-0.00172941
0.191831	-0.00031041	-0.00178146
0.192199	-0.000265727	-0.00182502
0.192566	-0.000216087	-0.00185928
0.192934	-0.000163248	-0.00188371
0.193301	-0.000108997	-0.00189814
0.193669	-5.50873e-05	-0.00190269
0.194036	-3.19259e-06	-0.00189778
0.194404	4.51458e-05	-0.00188409
0.194771	8.85592e-05	-0.00186256
0.195139	0.000125887	-0.00183431
0.195506	0.000156204	-0.00180064
0.195874	0.00017884	-0.00176294
0.196241	0.000193387	-0.00172267
0.196609	0.000199704	-0.00168131
0.196976	0.000197907	-0.00164031
0.197344	0.000188356	-0.00160104
0.197711	0.000171633	-0.00156475
0.198079	0.000148511	-0.00153256
0.198446	0.000119926	-0.0015054
0.198814	8.69361e-05	-0.00148401
0.199181	5.06837e-05	-0.00146892
0.199549	1.23574e-05	-0.00146044
0.199916	-2.68488e-05	-0.00145866
0.200284	-6.57726e-05	-0.00146348
0.200651	-0.000103318	-0.00147458
0.201019	-0.000138488	-0.0014915
0.201386	-0.000170407	-0.00151358
0.201754	-0.000198346	-0.00154009
0.202121	-0.000221735	-0.00157017
0.202489	-0.000240175	-0.00160291
0.202856	-0.000253438	-0.00163738
0.203224	-0.000261466	-0.00167265
0.203591	-0.000264366	-0.0017078
0.203959	-0.00026239	-0.001742
0.204326	-0.000255928	-0.00177448
0.204694	-0.000245479	-0.00180458
0.205061	-0.000231634	-0.00183176
0.205429	-0.000215046	-0.00185561
0.205796	-0.000196413	-0.00187583
0.206164	-0.000176444	-0.00189228
0.206531	-0.000155841	-0.00190493
0.206899	-0.000135276	-0.00191389
0.207266	-0.000115367	-0.00191935
0.207634	-9.66688e-05	-0.00192165
0.208001	-7.9651e-05	-0.00192114
0.208369	-6.46938e-05	-0.0019183
0.208736	-5.20795e-05	-0.0019136
0.209104	-4.19901e-05	-0.00190757
0.209471	-3.45087e-05	-0.00190072
0.209839	-2.96231e-05	-0.00189356
0.210206	-2.72335e-05	-0.00188656
0.210574	-2.71622e-05	-0.00188015
0.210941	-2.91645e-05	-0.00187473
0.211309	-3.29428e-05	-0.0018706
0.211676	-3.81596e-05	-0.00186801
0.212044	-4.44528e-05	-0.00186714
0.212411	-5.14487e-05	-0.00186808
0.212779	-5.87766e-05	-0.00187087
0.213146	-6.60802e-05	-0.00187547
0.213514	-7.30292e-05	-0.00188177
0.213881	-7.9328e-05	-0.00188964
0.214249	-8.47233e-05	-0.00189888
0.214616	-8.90092e-05	-0.00190925
0.214984	-9.20302e-05	-0.00192052
0.215351	-9.36828e-05	-0.00193241
0.215719	-9.39143e-05	-0.00194465
0.216086	-9.27208e-05	-0.00195699
0.216454	-9.0143e-05	-0.00196918
0.216821	-8.62615e-05	-0.00198098
0.217188	-8.11903e-05	-0.0019922
0.217556	-7.50708e-05	-0.00200266
0.217923	-6.80648e-05	-0.00201222
0.218291	-6.03474e-05	-0.00202077
0.218658	-5.21005e-05	-0.00202825
0.219026	-4.3507e-05	-0.00203462
0.219393	-3.47447e-05	-0.00203986
0.219761	-2.59824e-05	-0.00204399
0.220128	-1.73755e-05	-0.00204707
0.220496	-9.06345e-06	-0.00204914
0.220863	-1.16802e-06	-0.00205029
0.221231	6.2079e-06	-0.00205061
0.221598	1.29803e-05	-0.0020502
0.221966	1.90835e-05	-0.00204915
0.222333	2.44689e-05	-0.00204758
0.222701	2.91035e-05	-0.00204558
0.223068	3.29678e-05	-0.00204325
0.223436	3.60537e-05	-0.00204068
0.223803	3.83626e-05	-0.00203796
0.224171	3.99033e-05	-0.00203517
0.224538	4.06903e-05	-0.00203239
0.224906	4.07421e-05	-0.00202968
0.225273	4.00806e-05	-0.00202711
0.225641	3.87298e-05	-0.00202475
0.226008	3.67161e-05	-0.00202264
0.226376	3.40679e-05	-0.00202085
0.226743	3.08159e-05	-0.00201943
0.227111	2.69944e-05	-0.00201843
